,result
5973,1
5972,1
5971,1
5970,1
5969,1
5968,1
5967,1
5966,1
5965,1
5964,1
5963,1
5962,1
5961,1
5960,1
5959,1
5958,1
5957,1
5956,1
5955,1
5954,1
5953,1
5952,1
5951,1
5950,1
5949,1
5948,1
5947,1
5946,1
5945,1
5944,1
5943,1
5942,1
5941,1
5940,1
5939,1
5938,1
5937,1
5935,1
5934,1
5932,1
5931,1
5930,1
5929,1
5928,1
5927,1
5926,1
5925,1
5924,1
5923,1
5922,1
5921,1
5920,1
5919,1
5918,1
5917,1
5916,1
5915,1
5914,1
5913,1
5912,1
5911,1
5910,1
5909,1
5908,1
5907,1
5906,1
5905,1
5904,1
5903,1
5902,1
5901,1
5899,1
5898,1
5897,1
5896,1
5895,1
5894,1
5893,1
5892,1
5891,1
5890,1
5889,1
5888,1
5887,1
5886,1
5885,1
5884,1
5883,1
5882,1
5881,1
5880,1
5879,1
5877,1
5876,1
5875,1
5874,1
5873,1
5872,1
5871,1
5870,1
5869,1
5868,1
5867,1
5866,1
5865,1
5864,1
5863,1
5862,1
5861,1
5860,1
5859,1
5858,1
5857,1
5856,1
5855,1
5854,1
5853,1
5852,1
5851,1
5850,1
5849,1
5848,1
5847,1
5846,1
5845,1
5844,1
5843,1
5842,1
5841,1
5840,1
5839,1
5838,1
5837,1
5836,1
5835,1
5834,1
5833,1
5832,1
5831,1
5830,1
5829,1
5828,1
5827,1
5826,1
5825,1
5823,1
5822,1
5821,1
5820,1
5819,1
5818,1
5817,1
5816,1
5815,1
5814,1
5813,1
5812,1
5811,1
5810,1
5809,1
5808,1
5807,1
5806,1
5805,1
5804,1
5803,1
5802,1
5801,1
5800,1
5799,1
5798,1
5797,1
5796,1
5795,1
5794,1
5793,1
5792,1
5791,1
5790,1
5789,1
5788,1
5786,1
5785,1
5784,1
5783,1
5782,1
5781,1
5780,1
5779,1
5778,1
5777,1
5776,1
5775,1
5774,1
5773,1
5772,1
5770,1
5769,1
5768,1
5767,1
5766,1
5765,1
5764,1
5763,1
5762,1
5761,1
5760,1
5759,1
5758,1
5757,1
5756,1
5755,1
5754,1
5753,1
5752,1
5751,1
5750,1
5749,1
5748,1
5747,1
5746,1
5745,1
5744,1
5743,1
5742,1
5741,1
5740,1
5739,1
5738,1
5737,1
5736,1
5735,1
5734,1
5733,1
5732,1
5731,1
5730,1
5729,1
5728,1
5727,1
5726,1
5725,1
5724,1
5723,1
5722,1
5721,1
5720,1
5719,1
5718,1
5717,1
5716,1
5715,1
5714,1
5713,1
5712,1
5711,1
5710,1
5709,1
5708,1
5707,1
5706,1
5705,1
5704,1
5703,1
5702,1
5701,1
5700,1
5699,1
5698,1
5697,1
5696,1
5695,1
5694,1
5693,1
5692,1
5691,1
5690,1
5689,1
5688,1
5687,1
5686,1
5685,1
5684,1
5683,1
